"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VG6WZIL7","conferencePaper","2023","Reyes, Ainah Gail Freo; Paraleon, Carlos Neil Almarinez; Bibera, Ralph Vincent Valeriano; Garcia, Sophia Jhynne Evelyn Bay; Estrella, Noel Espinola","FEDesk: A Web and Mobile Document Management System for the University of Santo Tomas Office for Faculty Evaluation and Development","Proceedings of the 2023 4th Asia Service Sciences and Software Engineering Conference","979-8-4007-0853-4","","10.1145/3634814.3634823","https://dl.acm.org/doi/10.1145/3634814.3634823","With the increasing number of individuals working from home and the development of information technology, more information is being disseminated over the Internet. Regardless of the industry, several aspects must be implemented for the workplace environment to be efficient and operate smoothly. Documents are the most essential assets of any organization, therefore understanding how to properly maintain a paper trail may have a significant impact on how efficiently things run daily.","2023-10-27","2026-03-01 03:32:53","2026-03-01 03:32:53","2026-03-01 03:32:53","58-68","","","","","","FEDesk","","","","","ACM","Aizu-Wakamatsu City Japan","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\N3452XR7\Reyes et al. - 2023 - FEDesk A Web and Mobile Document Management System for the University of Santo Tomas Office for Fac.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ASSE 2023: 2023 4th Asia Service Sciences and Software Engineering Conference","","","","","","","","","","","","","","",""
"3KHSBHL2","conferencePaper","2022","Gutiérrez Y Restrepo, Emmanuelle; Floris, Claudia","Supporting Teachers and Students Through a Smart Integrated System for Truly Inclusive Higher Education: Smart Integrated System for Truly Inclusive Higher Education","Proceedings of the 10th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-exclusion","978-1-4503-9807-7","","10.1145/3563137.3563173","https://dl.acm.org/doi/10.1145/3563137.3563173","This paper presents the YachaY System and the situation of higher education in Latin America that supports its need. The objective of the system is to support both students, teachers, academic authorities, and the productive sector, to make a truly flexible, personalized, and inclusive education a reality; through an integrated system of eprofiles, e-portfolios, credentialing, a learning route recommender system and an intelligent system for university management.","2022-08-31","2026-03-01 03:32:55","2026-03-01 03:32:55","2026-03-01 03:32:55","107-113","","","","","","Supporting Teachers and Students Through a Smart Integrated System for Truly Inclusive Higher Education","","","","","ACM","Lisbon Portugal","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\6Z4VWNMG\Gutiérrez Y Restrepo and Floris - 2022 - Supporting Teachers and Students Through a Smart Integrated System for Truly Inclusive Higher Educat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DSAI 2022: 10th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-exclusion","","","","","","","","","","","","","","",""
"YZ3LRP9K","conferencePaper","2023","Martin, Nancy","U.S. IT Faculty: Perceptions of Satisfaction and Stress","The 24th Annual Conference on Information Technology Education","979-8-4007-0130-6","","10.1145/3585059.3611404","https://dl.acm.org/doi/10.1145/3585059.3611404","To better understand the U.S. IT baccalaureate landscape and aid in faculty recruiting efforts, a comprehensive survey of IT faculty was conducted in spring 2021 with a goal of revealing characteristics and perceptions of faculty teaching in IT baccalaureate programs in the U.S. A sample of 321 faculty responded to the online survey, and this paper focuses on the perceptions and satisfaction levels of full time IT faculty respondents. While most are generally satisfied with their work environment, there are areas for improvement that IT program leaders should consider. Some of these areas include salaries, workload, access to research and teaching assistants, and access to professional development opportunities.","2023-10-11","2026-03-01 03:32:58","2026-03-01 03:32:58","2026-03-01 03:32:58","92-98","","","","","","U.S. IT Faculty","","","","","ACM","Marietta GA USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\RPHE4UTW\Martin - 2023 - U.S. IT Faculty Perceptions of Satisfaction and Stress.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGITE '23: The 24th Annual Conference on Information Technology Education","","","","","","","","","","","","","","",""
"PPVMT9LH","conferencePaper","2024","Luo, Maoju; Yuan, Yiwei","Investigating Factors that Influence Engineering Students'Intention to Use Moodle: A Case Study in China","Proceedings of the 2024 10th International Conference on Education and Training Technologies","979-8-4007-1789-5","","10.1145/3661904.3661931","https://dl.acm.org/doi/10.1145/3661904.3661931","Moodle is the most widespread used learning management system (LMS) in universities. In engineering education, it has been proved to support courses and improve students’ performance. However, the acceptance issue of Moodle by engineering students in the context of China has not been fully explored. This study aimed to investigate the influential factors for engineering students to adopt Moodle in their learning. The Technology Acceptance Model (TAM) was utilized and extended by adding four variables. Data was collected through a survey on 175 students in Glasgow College in China and partial least squares structural equation model (PLSSEM) was performed for analysis. The adapted model achieved a good fit and satisfactory explained variance. Results indicated that the two factors, Perceived ease of use (PEU) and perceived usefulness (PU), remained key determinants of students’ behavioral intention (BI) to use Moodle. The best predictor of both PEU and PU was perceived self-efficacy, and other variables, subjective norm, technological complexity and facilitating conditions, were all shown to have significant influence on the two determinants. This study sheds light on understanding Moodle acceptance in the new context of engineering education in China and could provide guidance to stakeholders when implementing the system in their course.","2024-04-11","2026-03-01 03:33:00","2026-03-01 03:33:00","2026-03-01 03:33:00","77-83","","","","","","Investigating Factors that Influence Engineering Students'Intention to Use Moodle","","","","","ACM","Macau China","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\DCNYRFSZ\Luo and Yuan - 2024 - Investigating Factors that Influence Engineering Students'Intention to Use Moodle A Case Study in C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICETT 2024: 2024 10th International Conference on Education and Training Technologies","","","","","","","","","","","","","","",""
"X76VMPK8","journalArticle","2005","Samaka, M.","Using a faculty portfolio in the distinction of teaching","ACM SIGCSE Bulletin","","0097-8418","10.1145/1083431.1083458","https://dl.acm.org/doi/10.1145/1083431.1083458","In this paper a faculty portfolio in the computer science discipline is being designed and used in teaching summative evaluation. As an example model, the paper presents an academic portfolio that intends to contain the author’s major achievements in teaching at a university level. The portfolio was submitted for the faculty distinction award in teaching at UAE University in United Arab Emirates. The structure of the portfolio was carefully designed according to a suggested evaluation criteria model concluded throughout an investigation study conducted by the author of this paper. The structure also meets the summative rating process for the faculty distinction award in teaching at UAE University.","2005-06","2026-03-01 03:33:02","2026-03-01 03:33:03","2026-03-01 03:33:02","31-35","","2","37","","SIGCSE Bull.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\HG28DLIS\Samaka - 2005 - Using a faculty portfolio in the distinction of teaching.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K6AA342H","conferencePaper","2012","Williams, Meri; Jackson, Robert","A case study of a phased approach methodology for application development and implementation","Proceedings of the 40th annual ACM SIGUCCS conference on User services","978-1-4503-1494-7","","10.1145/2382456.2382472","https://dl.acm.org/doi/10.1145/2382456.2382472","The Academic Affairs faculty evaluation process was once a paper-based process used by colleges and schools at the University of Memphis (UofM). The College of Arts and Sciences (CAS) developed an online alternative to the paper evaluation process and used it successfully for multiple years. As the electronic evaluation process gained cultural acceptance within the college, Academic Affairs sought a way to provide this enhancement throughout the academy. Academic Affairs Technology (AATECH) was charged with scaling the original application, providing training, and implementing the application for use in all colleges and schools. A phased approach was selected for this project implementation. Initial phases included: phase 1 (scaling the application), phase 2 (reports and major improvements), and phase 3 (annual maintenance). This paper will provide a brief history of the faculty evaluation system, the phased approach used to implement a web-based system, where we are now and lessons learned.","2012-10-15","2026-03-01 03:33:05","2026-03-01 03:33:05","2026-03-01 03:33:05","71-76","","","","","","","","","","","ACM","Memphis Tennessee USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\TTU7EM3E\Williams and Jackson - 2012 - A case study of a phased approach methodology for application development and implementation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGUCCS '12: ACM SIGUCCS Annual Conference","","","","","","","","","","","","","","",""
"T7BB79TR","conferencePaper","2016","Cubeles, Albert; Riu, David","Teachers' use of technology in the university classroom","Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality","978-1-4503-4747-1","","10.1145/3012430.3012591","https://dl.acm.org/doi/10.1145/3012430.3012591","This study aims to explore the use of technology in the classroom for teaching purposes in a university environment. The research provides evidence both on the use of the technological tool and the instructive task performed with it. Based on a survey of 112 professors, the tools were classified into items of mobile and social media (SM), learning management systems (LMS) and graphic and dynamic visualizations (Graphic). Regarding the Faculty, the study collected a number of sociodemographic variables such as gender, age, discipline, academic background and experience in online teaching. Results show the limited use of technology in classroom, highlighting only those technologies related with graphic and dynamic presentations, while they do show correlation between the use of LMS tools and SM tools. However, significant differences in the use of technology in the classroom have been found between teachers from different disciplines, academic backgrounds and prior experience with online teaching, while no differences were detected in other variables. This investigation thus contributes to studies that aim to advance the effective integration of technology in teaching and learning by introducing relevant teacher variables.","2016-11-02","2026-03-01 03:33:07","2026-03-01 03:33:07","2026-03-01 03:33:07","671-676","","","","","","","","","","","ACM","Salamanca Spain","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\7SX4L8K5\Cubeles and Riu - 2016 - Teachers' use of technology in the university classroom.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEEM'16: 4th International Conference on Technological Ecosystems for Enhancing Multiculturality","","","","","","","","","","","","","","",""
"2VE3EC3N","conferencePaper","2021","Fernando Raguro, Ma. Corazon; Lagman, Ace Carpio; Juanatas, Ronaldo","Technology Management Framework for Smart University System in the Philippines","2021 The 9th International Conference on Information Technology: IoT and Smart City","978-1-4503-8497-1","","10.1145/3512576.3512642","https://dl.acm.org/doi/10.1145/3512576.3512642","In this study, the Smart University came out of the concept of smart cities by applying the principles of smart cities to the operation of university. The Smart University is a vision where the University, as a platform, provides foundational context data to deliver the university of the future. To deal with this reality, the researcher developed a framework for transforming a traditional university into a Smart University, which is more efficient, effective, and has more involvement from both students and teachers, all working together to accomplish the shared goal of improved learning. To achieve this objective, the researchers propose to develop a Technology Management Framework that will address issues and challenges to be considered in establishing and adopting a Smart University in the Philippines. The study will also measure the level of preparedness on Smart Universities among the students, teachers, university administrators, and IT consultant and practitioners that serve in different government agencies. Finally, the paper will also address adaptability of universities and to measure the Level of Smartness of Universities in Metro Manila.","2021-12-22","2026-03-01 03:33:10","2026-03-01 03:33:10","2026-03-01 03:33:10","372-380","","","","","","","","","","","ACM","Guangzhou China","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\C6HQGV7J\Fernando Raguro et al. - 2021 - Technology Management Framework for Smart University System in the Philippines.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICIT 2021: IoT and Smart City","","","","","","","","","","","","","","",""
"QRLCPX56","conferencePaper","2011","Bauer, Reinhard; Baumgartner, Peter","Showcase of learning: towards a pattern language for working with electronic portfolios in higher education","Proceedings of the 16th European Conference on Pattern Languages of Programs","978-1-4503-1302-5","","10.1145/2396716.2396722","https://dl.acm.org/doi/10.1145/2396716.2396722","","2011-07-13","2026-03-01 03:33:13","2026-03-01 03:33:13","2026-03-01 03:33:13","1-30","","","","","","Showcase of learning","","","","","ACM","Irsee Germany","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\B9ZPLJQ3\Bauer and Baumgartner - 2011 - Showcase of learning towards a pattern language for working with electronic portfolios in higher ed.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EuroPLoP 2011: 16th European Conference on Pattern Languages of Programs","","","","","","","","","","","","","","",""
"KD9XQDYQ","conferencePaper","2005","McGrath, Owen G.","Gauging adoptability: a case study of e-portfolio template development","Proceedings of the 33rd annual ACM SIGUCCS conference on User services","978-1-59593-200-6","","10.1145/1099435.1099484","https://dl.acm.org/doi/10.1145/1099435.1099484","To help improve the decision-making process involved in planning for deployment of new centrally-supported internet technologies, the project described in this paper proposes a solution that makes use of web survey technology combined with some established research on users’ technology adoption processes. Increasingly, academic computing service groups find themselves trying to decide when and how quickly to deploy new online services. As new forms of commercial and open source web-based applications become available at a quickening pace, for instance, questions arise as to whether a significant number of local users would actually use them. Moreover, the widespread use of XML and stylesheets as underlying presentation technologies in these web applications present academic support groups with even more deployment decisions, such as whether or not to invest time and resources in refining a particular web application’s user interface. As described in this paper, these kinds of challenges can sometimes be met in a fairly easy and affordable way by drawing upon 1) recent developments in web survey technology along with 2) any of several models and constructs developed over the past two decades to help predict users’ technology choices. Specifically, this paper describes a workin-progress to develop an approach towards combining web survey systems together with the Technology Acceptance Model (TAM), in order to anticipate the usability and usefulness ratings among several candidate iterations of ePortfolio templates under consideration for deployment in one university setting.","2005-11-06","2026-03-01 03:33:15","2026-03-01 03:33:15","2026-03-01 03:33:15","214-217","","","","","","Gauging adoptability","","","","","ACM","Monterey CA USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\ITECH\Zotero\storage\2Q2S567K\McGrath - 2005 - Gauging adoptability a case study of e-portfolio template development.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGUCCS Fall05: ACM SIGUCCS Fall Conference:Fishing for New Ideas","","","","","","","","","","","","","","",""
