Year,Title,Database,DOI,Priority,Reason
2025,Enhancing Medical Education in Morocco: A Conceptual Framework for an ePortfolio System,IEEE,10.1109/iraset64571.2025.11008276,Medium,Relevant e-portfolio platform/evaluation evidence for system design comparison.
2025,Enhancing Lecturer Performance Insights: A Machine Learning Framework for Predicting Student Evaluations,IEEE,10.1109/iscaie64985.2025.11081167,Medium,Contextual support for HEI system governance/implementation.
2025,Assessing Research Quality in Academic Institutions Using Google Scholar Metrics,IEEE,10.1109/punecon67554.2025.11378388,High,Relevant to QA/compliance monitoring and performance management context.
2025,A Development of a Web And Mobile Application for a Faculty Ranking System With Data Analytics at National University Philippines,IEEE,10.1109/ic4e65071.2025.11075508,High,Directly relevant to faculty evaluation/portfolio document workflow system.
2025,"A Data-Driven Faculty Appraisal Framework Integrating AHP, TOPSIS, and Random Forest for Fair and Transparent Evaluation",IEEE,10.1109/icecmsn68058.2025.11382859,High,Directly relevant to faculty evaluation/portfolio document workflow system.
2024,Impact of ANEAES Accreditation on the Computer Engineering Program at Universidad Americana,IEEE,10.1109/icacit62963.2024.10788606,High,Relevant to QA/compliance monitoring and performance management context.
2024,Evaluating Interactive Concept Maps Produced from E-Portfolios,Scopus,10.1109/ism63611.2024.00058,Medium,Relevant e-portfolio platform/evaluation evidence for system design comparison.
2024,Construction and Evaluation of KPI Performance Appraisal Model in Personnel Management System of Higher Vocational Colleges and Universities,Scopus,10.2478/amns-2024-1739,High,Relevant to QA/compliance monitoring and performance management context.
2023,The structure and priorities of researchers' scholarly profile maintenance activities: A case of institutional research information management system,Scopus,10.1002/asi.24721,Medium,Contextual support for HEI system governance/implementation.
2023,FEDesk: A Web and Mobile Document Management System for the University of Santo Tomas Office for Faculty Evaluation and Development,ACM,10.1145/3634814.3634823,High,Directly relevant to faculty evaluation/portfolio document workflow system.
2023,E-PORTFOLIO FOR DIGITAL UNIVERSITIES USING SMART CONTRACTS ON INTELLIGENCE BLOCKCHAIN TECHNOLOGY,Scopus,,Medium,Relevant e-portfolio platform/evaluation evidence for system design comparison.
2022,Supporting Teachers and Students Through a Smart Integrated System for Truly Inclusive Higher Education: Smart Integrated System for Truly Inclusive Higher Education,ACM,10.1145/3563137.3563173,Medium,Contextual support for HEI system governance/implementation.
2021,Technology Management Framework for Smart University System in the Philippines,ACM,10.1145/3512576.3512642,Medium,Contextual support for HEI system governance/implementation.
2021,Exploring the Future Trends of Faculty Development in Japanese Higher Education,IEEE,10.1109/iiai-aai53430.2021.00051,Medium,Contextual support for HEI system governance/implementation.
2021,Developing a Generic Skill Assessment System Using Rubric and Checklists,Scopus,,Medium,Contextual support for HEI system governance/implementation.
2021,Design and Implementation of Collaborative Management System for Effective Learning,Scopus,10.14569/ijacsa.2021.0121041,Medium,Contextual support for HEI system governance/implementation.
