"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FX6248UQ","journalArticle","2025","Nguyen, L.T.; Tuamsuk, K.","Digital services as catalysts for lifelong learning in Thai higher education institutions","Journal of Academic Librarianship","","","10.1016/j.acalib.2025.103152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018871524&doi=10.1016%2Fj.acalib.2025.103152&partnerID=40&md5=99ea289d9d1ad2098a456363c4a7e7c1","","2025","2026-03-01 03:30:20","2026-03-01 03:30:20","","","","6","51","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2LK2BLM","journalArticle","2024","Zhao, N.; Su, H.; Wang, B.; Liu, R.; Yang, Q.; Huang, T.; Wu, X.","Construction and Evaluation of KPI Performance Appraisal Model in Personnel Management System of Higher Vocational Colleges and Universities","Applied Mathematics and Nonlinear Sciences","","","10.2478/amns-2024-1739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197885877&doi=10.2478%2Famns-2024-1739&partnerID=40&md5=300577328b374eee6f135311ba7d3c28","","2024","2026-03-01 03:30:20","2026-03-01 03:30:20","","","","1","9","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2RTCXF7","journalArticle","2024","Özyer, K.K.","Online Assessment in Turkish Universities: Challenges, Strategies, and Self-Efficacy Dynamics","Journal of Social Studies Education Research","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188340685&partnerID=40&md5=db60b9eeac282538a7847bdcdc7f12d2","","2024","2026-03-01 03:30:20","2026-03-01 03:30:20","","1-37","","1","15","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGRJ3TPQ","conferencePaper","2024","Gantikow, A.; Isking, A.; Mueller, W.; Libbrecht, P.; Rebholz, S.","Evaluating Interactive Concept Maps Produced from E-Portfolios","","","","10.1109/ISM63611.2024.00058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002731423&doi=10.1109%2FISM63611.2024.00058&partnerID=40&md5=7f9eeb9e7cc705f6b6b82291347a5646","","2024","2026-03-01 03:30:20","2026-03-01 03:30:20","","255-260","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 2024 International Symposium on Multimedia, ISM 2024","","","","","","","","","","","","","","",""
"D5DYRGFM","conferencePaper","2023","Reyes, A.G.F.; Paraleon, C.N.A.; Bibera, R.V.V.; Garcia, S.J.E.B.; Estrella, N.E.","FEDesk: A Web and Mobile Document Management System for the University of Santo Tomas Office for Faculty Evaluation and Development","","","","10.1145/3634814.3634823","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190368641&doi=10.1145%2F3634814.3634823&partnerID=40&md5=59450d8bf4a1a6be299e54fbc9e45f91","","2023","2026-03-01 03:30:20","2026-03-01 03:30:20","","58-68","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACM International Conference Proceeding Series","","","","","","","","","","","","","","",""
"W7MIMLNN","journalArticle","2023","Tasatanattakool, P.; Pradit, K.; Piriyasurawong, P.","E-PORTFOLIO FOR DIGITAL UNIVERSITIES USING SMART CONTRACTS ON INTELLIGENCE BLOCKCHAIN TECHNOLOGY","Journal of Theoretical and Applied Information Technology","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175446742&partnerID=40&md5=fe8d1b732508b8530a11badc9835a677","","2023","2026-03-01 03:30:20","2026-03-01 03:30:20","","6180-6195","","19","101","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPJJNSFS","journalArticle","2023","Lee, D.J.; Stvilia, B.; Ha, S.; Hahn, D.","The structure and priorities of researchers' scholarly profile maintenance activities: A case of institutional research information management system","Journal of the Association for Information Science and Technology","","","10.1002/asi.24721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141470169&doi=10.1002%2Fasi.24721&partnerID=40&md5=0f69d29d1f322b78368153b10eefec94","","2023","2026-03-01 03:30:20","2026-03-01 03:30:20","","186-204","","2","74","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAVIEAWW","journalArticle","2022","Cadieux, M.; Healy, M.; Petrusa, E.; Cooke, L.; Traeger, L.; Kesselheim, J.C.; Riva-Cambrin, J.; Phitayakorn, R.","Implementation of competence by design in Canadian neurosurgery residency programs*","Medical Teacher","","","10.1080/0142159X.2021.1994937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118451622&doi=10.1080%2F0142159X.2021.1994937&partnerID=40&md5=2e47da45e2d7219c43ec9d3328af555a","","2022","2026-03-01 03:30:20","2026-03-01 03:30:20","","380-387","","4","44","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6STGBWWE","conferencePaper","2021","Miyazaki, M.; Watanabe, H.; Masaka, M.; Takai, K.","Developing a Generic Skill Assessment System Using Rubric and Checklists","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126617456&partnerID=40&md5=d4bd7590580e8030a674c56dd1087534","","2021","2026-03-01 03:30:21","2026-03-01 03:30:21","","191-200","","","1","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29th International Conference on Computers in Education Conference, ICCE 2021 - Proceedings","","","","","","","","","","","","","","",""
"MHIVURVW","journalArticle","2021","Ikwunne, T.A.; Adigwe, W.; Nnamene, C.C.; Ogwara, N.O.; Okemiri, H.A.; Emenike, C.E.","Design and Implementation of Collaborative Management System for Effective Learning","International Journal of Advanced Computer Science and Applications","","","10.14569/IJACSA.2021.0121041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119674800&doi=10.14569%2FIJACSA.2021.0121041&partnerID=40&md5=8b7368fb6d62d6e497304324e7e3a55a","","2021","2026-03-01 03:30:21","2026-03-01 03:30:21","","375-382","","10","12","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
