"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RTYKRQN5","conferencePaper","2026","Chouhan, R.L.; Shekhawat, H.S.","Decoding Urban Growth: Systematic Review Where Machine Learning Meets Geographic Information Systems for Spatial Predictions","","","","10.1007/978-981-96-7760-3_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020025259&doi=10.1007%2F978-981-96-7760-3_13&partnerID=40&md5=9498d99deac7ae450e35b5b2046ceb98","Urban growth is one of the major challenges of the twenty-first century, the rapid expansion of urban areas more means complex patterns of land use, infrastructure development, and environmental impact. Analyzing and anticipating these dynamics are fundamental for efficient urban planning, resource management, and policy formulation. Leveraging machine learning (ML) techniques with geographic information systems (GIS) for urban growth patterns prediction. This paper examines integrating machine learning (ML) techniques with geographic information systems (GIS) for urban growth patterns prediction. Leveraging the spatial analytical strengths of GIS combined with the predictive potential of ML, we develop a framework for forecasting urban growth using historical data, socioeconomic parameters, and spatial features. We process ML methodologies such as decision trees (DTs), support vector machines (SVMs), random forests (RFs), and deep learning models for urban growth prediction. We also discuss how satellite and remote sensing data offer high-resolution spatial data collections, which are critical for accurate modeling. Positioned around the synergy between ML and GIS, this work provides a framework for addressing critical urban growth challenges and sets the stage for smarter, data-driven decision making across the fields of urban planning and policy. These findings are intended to be part of the larger conversation around the phenomena of urbanization and thus should be of interest to academics, planners, and public policy-makers operating at the nexus of technology and urbanism.","2026","2026-02-19 09:40:01","2026-02-19 10:49:15","","189-203","","","1468 LNNS","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Networks and Systems","","","","","","","","","","","","","","",""
"4K9DCHWR","journalArticle","2025","Xia, T.","Application of decision tree classification algorithm for financial management and risk early warning in universities","Journal of Computational Methods in Sciences and Engineering","","","10.1177/14727978251319399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007227617&doi=10.1177%2F14727978251319399&partnerID=40&md5=c5fe8699e05731a87040f2c43ffcc216","n order to improve the effect of financial management and risk (FMAR) early warning in colleges and universities (CAU), this paper combines the decision tree classification algorithm to process financial management data in CAU as well as constructs a four-dimensional dynamic investment decision-making game system. The stability criterion of discrete dynamical system is used to analyze and discuss the stability of each equilibrium point (EP) of nonlinear system. This could be improved to: “We utilize the stability criterion of a discrete dynamical system to analyze and discuss the stability of equilibrium points in the nonlinear system.” A financial management early warning model for universities was constructed based on actual situations, and the practical effect of the model was verified through experimental analysis methods. The parameter conditions when the EP is asymptotically stable in the system are given. In addition, this paper combines the decision tree algorithm to build a FMAR early warning system for CAU. The experimental analysis shows that the decision tree classification algorithm proposed in this paper has obvious application effect in the FMAR early warning of CAU. This article effectively simulates the nonlinear management mode in financial management of universities and reflects the actual economic activities and related influencing factors of universities through function simulation.","2025","2026-02-19 09:40:01","2026-02-19 10:55:54","","3178-3196","","4","25","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5IDU4EV","conferencePaper","2024","Kler, R.; Singh, G.; Chaudhary, N.; Abdullaev, B.; Bhandwal, M.; Ather, D.","Predicting Career Transitions Through Insights from Academic Background and Workforce Dynamics Using Machine Learning","","","","10.1109/ICTACS62700.2024.10840625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218200328&doi=10.1109%2FICTACS62700.2024.10840625&partnerID=40&md5=3e6980381c6cef6017b92bf24799d722","The increased dynamism in modern employment landscapes has emanated to the frequent career changes and, therefore, the importance of accustoming to the factors explaining occupational change is growing. The paper discusses the various machine learning models in the prediction of career changes with the help of the data set that contains record number of 38444 and has 22 features including the academic background of the person, job satisfaction, skills gap, and the growth of the industry. Therefore, the investigations conducted regarding the connections between these features and career mobility offer practical recommendations for various applications of HR analytics, career guidance, and workforce planning. Logistic regression, decision tree and random forests algorithms were used from the family of machine learning algorithms. Of the models presented, the random forest model was found to be most effective with an accuracy of 85%. In the feature correlation analysis we determined other factors that deem to influence this factors for example field of study, levels of job satisfaction and growth in the industry. Demographic factors are also identified as critical drivers of career choices in the study. The research is useful to identify opportunities for the support of predictive analytics in context to current issues pertaining to talent management, talent development, and the overall talent retention. This research extends prior literature in the field of HR analytics by providing a quantitative approach for analyzing career mobility.","2024","2026-02-19 09:40:01","2026-02-19 10:50:11","","134-138","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 4th International Conference on Technological Advancements in Computational Sciences, ICTACS 2024","","","","","","","","","","","","","","",""
"E7YU6J5Z","conferencePaper","2024","Vonitsanos, G.; Kanavos, A.; Mylonas, P.","Evaluating Machine Learning Techniques for Enhanced Prediction of Building Energy Consumption","","","","10.1109/SEEDA-CECNSM63478.2024.00018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210875536&doi=10.1109%2FSEEDA-CECNSM63478.2024.00018&partnerID=40&md5=befe7648735059fd6d7750952ab7b15c","Accurate prediction of energy usage is crucial for optimizing resource allocation, enhancing energy efficiency, and reducing environmental impact, pivotal for sustainable development. This study examines electricity consumption in three Cornell University buildings, utilizing advanced machine learning techniques to tackle the challenges of sustainable energy management effectively. We specifically evaluated the performance of Support Vector Machine (SVM), Random Forest, Decision Tree, and K-Nearest Neighbors (KNN) in forecasting electricity usage. Our findings reveal that SVM consistently outperforms the other models across various performance metrics, including accuracy and efficiency. These results provide vital insights into the efficacy of these algorithms in predicting energy consumption, thereby supporting strategic energy management decisions in educational institutions and potentially other similar settings.","2024","2026-02-19 09:40:01","2026-02-19 10:54:47","","50-57","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 2024 9th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference, SEEDA-CECNSM 2024","","","","","","","","","","","","","","",""
"9KCWYP2B","conferencePaper","2023","Long, Q.; Zhu, W.","Research on Intelligent Early Warning of University Budget Expenditure Based on K-Means Clustering Algorithm","","","","10.1109/ITME60234.2023.00126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192498658&doi=10.1109%2FITME60234.2023.00126&partnerID=40&md5=cce2480de595785bee458e84d15f7f87","With the advent of the era of big data and artificial intelligence, the internal management of colleges and universities is also constantly advancing from the traditional management mode to the intelligent management. A large amount of financial and business data accumulated by the financial cloud system can be used to realize intelligent early warning of financial expenses, which helps financial managers and financial personnel timely discover the dangers existing in the expenditure control of the unit, and is of great significance for further strengthening the expenditure control of colleges and universities and promoting the informatization construction of internal control. This paper uses the method of machine learning to design an intelligent early warning framework for budget expenditure control in colleges and universities, and uses the K-means clustering algorithm to design an early warning method for the integrity control of college expenditure approval process. The early warning data is classified into unsupervised clusters and early warning levels of various data to achieve early warning for the integrity control of college expenditure approval process.","2023","2026-02-19 09:40:01","2026-02-19 10:50:29","","604-608","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 2023 13th International Conference on Information Technology in Medicine and Education, ITME 2023","","","","","","","","","","","","","","",""
"MPNMDNL2","conferencePaper","2022","Wu, X.","University Financial Early Warning Based on Data Mining Algorithm","","","","10.1007/978-3-031-05484-6_143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132828214&doi=10.1007%2F978-3-031-05484-6_143&partnerID=40&md5=43f4f178fba4a116bff11382f62e8e64","This paper studies the financial early warning of colleges and Universities Based on data mining algorithm. In view of the impact of financial risk on the sustainable development of colleges and universities, educational units should also carry out effective operation. In their financial management activities, they must meet the assumption of “sustainable operation”. The classical decision tree data mining algorithm for data classification and analysis mainly includes data preprocessing, decision tree generation, decision tree pruning, decision tree rule extraction and other steps. In the data analysis of university financial early warning system.","2022","2026-02-19 09:40:01","2026-02-19 10:55:24","","1053-1058","","","138","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes on Data Engineering and Communications Technologies","","","","","","","","","","","","","","",""
"NB8VU3XN","conferencePaper","2024","P. Daothong; S. Jampa-ngern; W. Senavongse","Utilizing Machine Learning Predictive Analytics to Enhance Early Sepsis Diagnosis in Critical Care Setting","2024 IEEE/ACIS 9th International Conference on Big Data, Cloud Computing, and Data Science (BCD)","","","10.1109/BCD61269.2024.10743073","","Sepsis remains a critical medical challenge worldwide, with millions of cases and fatalities annually, particularly affecting vulnerable populations like children. The evolving understanding of sepsis has led to refinements in diagnostic criteria, including the introduction of novel metrics like qSOFA. Despite advancements, early diagnosis remains pivotal for improved outcomes. This study leverages electronic medical records (EMR) and machine learning to propose a predictive model for early sepsis diagnosis in critical care patients. Using the eICU Collaborative Research Database, the dataset comprising vital signs was preprocessed and balanced. Various machine learning algorithms, including deep learning models, were evaluated using 10-fold cross-validation. Performance metrics are AUROC, accuracy, F1 score, and Brier score were computed to assess model effectiveness. XGBoost emerged as the top-performing algorithm, exhibiting superior performance across metrics compared to other models with AUROC = 0.78, Accuracy = 80, F1-Score = 72, Brier-Score = 0.20. While demonstrating promising results, XGBoost exhibited higher false-positive rates, indicating the need for further refinement. Overall, the study underscores the potential of machine learning in early sepsis diagnosis, providing insights for future optimization and clinical application.","2024-07-16","2026-02-19 09:40:15","2026-02-19 10:53:15","","44-47","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 IEEE/ACIS 9th International Conference on Big Data, Cloud Computing, and Data Science (BCD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/ACIS 9th International Conference on Big Data, Cloud Computing, and Data Science (BCD)","","","","","","","","","","","","","","",""
"34XHX6NC","conferencePaper","2024","D. Yang; Y. Feng; J. Jiang","Student Learning Behavior Analysis and Early Warning System Based on Machine Learning","2024 International Conference on Language Technology and Digital Humanities (LTDH)","","","10.1109/LTDH64262.2024.00042","","This paper proposes a machine learning-based student learning behavior analysis and early warning system to identify students in advance who may have learning difficulties and to issue early warnings in time through real-time monitoring of student learning behavior data. The system uses a learning management system and an online learning platform to collect data on attendance, homework submission, class participation, and online learning activities. After data cleaning, feature reduction, standardization, logistic regression, decision tree, random forest, and support vector machine are used to train and evaluate the models. The experimental results indicate, classically, good performance of a random forest model at 90% accuracy, 88% precision, and 86% recall, further giving F1 of 87%. In addition, the classification performance is also verified by a confusion matrix and ROC curve. The early warning system can be adjusted according to different thresholds to achieve a balance between precision and recall, providing an effective decision support tool for education managers. The research in this paper provides an effective technical means to improve the quality of education and student learning outcomes.","2024-07-05","2026-02-19 09:40:15","2026-02-19 10:49:34","","171-176","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 International Conference on Language Technology and Digital Humanities (LTDH)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 International Conference on Language Technology and Digital Humanities (LTDH)","","","","","","","","","","","","","","",""
"V4LH5MCW","conferencePaper","2023","N. Ghemrawi; K. Safi; J. El Falou","Assessment of Health Care Compliance in Managing Pseudomonas Aeruginosa in Urinary Tract Infection Using Machine Learning Techniques","2023 Seventh International Conference on Advances in Biomedical Engineering (ICABME)","2377-5696","","10.1109/ICABME59496.2023.10293106","","Pseudomonas aeruginosa poses a grave global threat to public health due to its escalating antibiotic resistance, resulting in an undue economic burden on vulnerable communities facing depreciated economies. This study assesses physician adherence to treatment protocols for urinary tract infections (UTIs) caused by Pseudomonas aeruginosa using machine learning algorithms. A retrospective dataset spanning January 2018 to December 2022 from a local Tripoli hospital in North Lebanon was analyzed. Non-compliance cases were classified based on factors impacting protocol adherence. The antimicrobial susceptibility test results were utilized to evaluate physicians' empirical treatment choices. Various algorithms, including Support vector machine, classifier chain, K-Neighbors classifier, Linear Regression, and Random Forest, were employed to build and train the machine learning model. The support vector machine algorithm exhibited the highest accuracy, accurately predicting antimicrobial susceptibility in 70% of cases. Results were categorized into three scenarios based on correlation with clinical protocol. Future research should explore additional features like antimicrobial usage patterns, resistance gene identification, susceptibility profiling, and environmental factors to enhance model performance and shed light on non-compliance factors.","2023-10-12","2026-02-19 09:40:15","2026-02-19 10:52:53","","178-183","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 Seventh International Conference on Advances in Biomedical Engineering (ICABME)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 Seventh International Conference on Advances in Biomedical Engineering (ICABME)","","","","","","","","","","","","","","",""
"N8G2DJJT","conferencePaper","2024","W. Sabbir; M. Abdullah-Al-Kafi; A. S. Afridi; M. S. Rahman; M. Karmakar","Improving Predictive Analytics for Student Dropout: A Comprehensive Analysis and Model Evaluation","2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)","","","10.23919/INDIACom61295.2024.10498520","","This research project uses careful data preparation and machine learning model assessment to provide an in-depth analysis of a dataset of students in college or university. The first analysis looks at goal value distributions, economic variables, and student counts by gender. The handling of outliers, feature selection, and class imbalance are all addressed by further filtering. Using ROC curves to highlight classification strength, the study assesses several classifiers, including XGBoost, Random Forest, K-Nearest Neighbors (KNN), and Decision Tree. With the greatest AUC of 0.99, Random Forest remarkably shows excellent predictive power, closely followed by XGBoost at 0.98. XGBoost performs exceptionally well on testing and training datasets. The findings contribute valuable insights into predictive modeling for understanding and predicting student outcomes, emphasizing the potential to enhance educational support systems. This integrated approach, combining exploratory data analysis and machine learning techniques, establishes a robust framework for future research in educational data mining and predictive analytics.","2024-03-28","2026-02-19 09:40:15","2026-02-19 10:55:04","","951-956","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)","","","","","","","","","","","","","","",""
