"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3XYNBKIC","journalArticle","2026","Behl, D.; Tomar, A.; Kumar, H.; Sharma, S.","Solar optimization via learning-driven visual intelligent analytics","Renewable Energy","","","10.1016/j.renene.2025.125171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027199972&doi=10.1016%2Fj.renene.2025.125171&partnerID=40&md5=5e861be9e87304d0b3255835b397614c","","2026","2026-02-19 09:40:01","2026-02-19 09:40:01","","","","","260","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJ2MF2GX","journalArticle","2026","Bai, Y.; Zhao, L.","A century of retrospective and future prospects of AI in maritime shipping: to 20th anniversary of ships and offshore structures","Ships and Offshore Structures","","","10.1080/17445302.2026.2619485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029163229&doi=10.1080%2F17445302.2026.2619485&partnerID=40&md5=476246215e1315e0107ae4a408808f8c","","2026","2026-02-19 09:40:01","2026-02-19 09:40:01","","29-32","","1","21","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTYKRQN5","conferencePaper","2026","Chouhan, R.L.; Shekhawat, H.S.","Decoding Urban Growth: Systematic Review Where Machine Learning Meets Geographic Information Systems for Spatial Predictions","","","","10.1007/978-981-96-7760-3_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020025259&doi=10.1007%2F978-981-96-7760-3_13&partnerID=40&md5=9498d99deac7ae450e35b5b2046ceb98","","2026","2026-02-19 09:40:01","2026-02-19 09:40:01","","189-203","","","1468 LNNS","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Networks and Systems","","","","","","","","","","","","","","",""
"6MVC75GI","journalArticle","2025","Zhang, P.; Shi, Y.; Ren, X.; Shi, Y.; Zhang, J.","Optimizing the performance of novel intelligent models by integrating metaheuristic algorithms for flood probability estimation","Signal, Image and Video Processing","","","10.1007/s11760-025-04485-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012250929&doi=10.1007%2Fs11760-025-04485-x&partnerID=40&md5=0071c668e54d0b58e7188f6c5c74fc80","","2025","2026-02-19 09:40:01","2026-02-19 09:40:01","","","","11","19","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4K9DCHWR","journalArticle","2025","Xia, T.","Application of decision tree classification algorithm for financial management and risk early warning in universities","Journal of Computational Methods in Sciences and Engineering","","","10.1177/14727978251319399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007227617&doi=10.1177%2F14727978251319399&partnerID=40&md5=c5fe8699e05731a87040f2c43ffcc216","","2025","2026-02-19 09:40:01","2026-02-19 09:40:01","","3178-3196","","4","25","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZ4E3X3Z","journalArticle","2025","Cabezuelo, D.; Lopez-Ramirez, I.; Urkizu, J.; Goikoetxea, A.","Optimizing Power Forecasting Models with Customized Features for Academic and Industrial Buildings","Smart Cities","","","10.3390/smartcities8010003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218867218&doi=10.3390%2Fsmartcities8010003&partnerID=40&md5=145d7600b28361ebd6e860614341ad6b","","2025","2026-02-19 09:40:01","2026-02-19 09:40:01","","","","1","8","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZVMJR4U","journalArticle","2025","Chohan, M.A.; Li, T.; Ramakrishnan, S.; Sheraz, M.","Artificial Intelligence in Financial Risk Early Warning Systems: A Bibliometric and Thematic Analysis of Emerging Trends and Insights","International Journal of Advanced Computer Science and Applications","","","10.14569/IJACSA.2025.01601127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216833325&doi=10.14569%2FIJACSA.2025.01601127&partnerID=40&md5=2236f11d720f701751f72fb25030eb95","","2025","2026-02-19 09:40:01","2026-02-19 09:40:01","","1336-1351","","1","16","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CLNU64H","conferencePaper","2025","Sundar, J.S.; Chandra, S.; Saini, R.K.; Jha, S.; Katta, S.K.","AI-Powered Predictive Analytics for Financial Risk Management in Banking and Fintech","","","","10.1109/AIC66080.2025.11211884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023638265&doi=10.1109%2FAIC66080.2025.11211884&partnerID=40&md5=8121ec55779113fbdb5498916bd25966","","2025","2026-02-19 09:40:01","2026-02-19 09:40:01","","174-178","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE 4th World Conference on Applied Intelligence and Computing, AIC 2025","","","","","","","","","","","","","","",""
"GPAVVSGV","journalArticle","2025","Ahamed, A.; Fardin, H.; Hasan, E.; Rimon, S.M.T.H.; Haque, M.M.","A Review of Machine Learning Approaches for Optimizing Hybrid Renewable Energy Systems (HRES) in Decentralized Smart Grids: Enhancing Energy Efficiency and Grid Stability","Iranian Journal of Science and Technology - Transactions of Electrical Engineering","","","10.1007/s40998-025-00807-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019616444&doi=10.1007%2Fs40998-025-00807-4&partnerID=40&md5=eb8029b8bdcee7b274ac2bb91c58a87c","","2025","2026-02-19 09:40:01","2026-02-19 09:40:01","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZA8QLKT7","conferencePaper","2025","Dachawar, M.; Ainapure, B.; Tong, V.; Hegde, M.","The Evolution of Artificial Intelligence Enhanced Enterprise Resource Planning in Higher Education: A Comprehensive Meta-Data Analysis","","","","10.1109/ICSCDS65426.2025.11167478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018457994&doi=10.1109%2FICSCDS65426.2025.11167478&partnerID=40&md5=7ea8e8e84ff4e6e49ab85307fb31b0a3","","2025","2026-02-19 09:40:01","2026-02-19 09:40:01","","1574-1582","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of 3rd International Conference on Sustainable Computing and Data Communication Systems, ICSCDS 2025","","","","","","","","","","","","","","",""
