"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IE4FHUCR","conferencePaper","2021","A. Bačová; F. Babič","Predictive Analytics for Default of Credit Card Clients","2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI)","","","10.1109/SAMI50585.2021.9378671","","","2021-01-21","2026-02-19 09:40:15","2026-02-19 09:40:15","","000329-000334","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI)","","","","","","","","","","","","","","",""
"AH9UBDP2","conferencePaper","2019","R. M. S. M. Rathnayake; E. W. L. M. B. Ekanayake; K. A. I. P. Kahandawala; W. G. S. C. de Silva; D. P. Nawinna; D. Kasthurirathna","Predictive Analytics Platform for Organic Cultivation Management","2019 International Conference on Advancements in Computing (ICAC)","","","10.1109/ICAC49085.2019.9103344","","","2019-12-05","2026-02-19 09:40:15","2026-02-19 09:40:15","","204-209","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2019 International Conference on Advancements in Computing (ICAC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 International Conference on Advancements in Computing (ICAC)","","","","","","","","","","","","","","",""
"MVKYCJFD","conferencePaper","2024","R. Bhuvanya; H. Berscilla; Rohith; K. K. Kumar; T. Kujani","Predictive Analytics for Improved Fetal Health Management","2024 4th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS)","","","10.1109/ICUIS64676.2024.10866318","","","2024-12-12","2026-02-19 09:40:15","2026-02-19 09:40:15","","772-779","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 4th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 4th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS)","","","","","","","","","","","","","","",""
"NB8VU3XN","conferencePaper","2024","P. Daothong; S. Jampa-ngern; W. Senavongse","Utilizing Machine Learning Predictive Analytics to Enhance Early Sepsis Diagnosis in Critical Care Setting","2024 IEEE/ACIS 9th International Conference on Big Data, Cloud Computing, and Data Science (BCD)","","","10.1109/BCD61269.2024.10743073","","","2024-07-16","2026-02-19 09:40:15","2026-02-19 09:40:15","","44-47","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 IEEE/ACIS 9th International Conference on Big Data, Cloud Computing, and Data Science (BCD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE/ACIS 9th International Conference on Big Data, Cloud Computing, and Data Science (BCD)","","","","","","","","","","","","","","",""
"69UXE9PS","conferencePaper","2025","S. -S. M. Ajibade; N. A. Goles; M. C. Villagonzalo; R. F. B. Legaspino; C. P. Antecristo; J. P. Dayupay; C. P. Tapales; F. G. Cababat; A. O. Adediran; K. A. Akintoye; O. E. Ayodele","Machine Learning Techniques for Predictive Analytics of Academic Outcomes and Behavior of Students","2025 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET)","","","10.1109/IICAIET67254.2025.11265617","","","2025-08-26","2026-02-19 09:40:15","2026-02-19 09:40:15","","597-602","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2025 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET)","","","","","","","","","","","","","","",""
"34XHX6NC","conferencePaper","2024","D. Yang; Y. Feng; J. Jiang","Student Learning Behavior Analysis and Early Warning System Based on Machine Learning","2024 International Conference on Language Technology and Digital Humanities (LTDH)","","","10.1109/LTDH64262.2024.00042","","","2024-07-05","2026-02-19 09:40:15","2026-02-19 09:40:15","","171-176","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 International Conference on Language Technology and Digital Humanities (LTDH)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 International Conference on Language Technology and Digital Humanities (LTDH)","","","","","","","","","","","","","","",""
"V4LH5MCW","conferencePaper","2023","N. Ghemrawi; K. Safi; J. El Falou","Assessment of Health Care Compliance in Managing Pseudomonas Aeruginosa in Urinary Tract Infection Using Machine Learning Techniques","2023 Seventh International Conference on Advances in Biomedical Engineering (ICABME)","2377-5696","","10.1109/ICABME59496.2023.10293106","","","2023-10-12","2026-02-19 09:40:15","2026-02-19 09:40:15","","178-183","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 Seventh International Conference on Advances in Biomedical Engineering (ICABME)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 Seventh International Conference on Advances in Biomedical Engineering (ICABME)","","","","","","","","","","","","","","",""
"N8G2DJJT","conferencePaper","2024","W. Sabbir; M. Abdullah-Al-Kafi; A. S. Afridi; M. S. Rahman; M. Karmakar","Improving Predictive Analytics for Student Dropout: A Comprehensive Analysis and Model Evaluation","2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)","","","10.23919/INDIACom61295.2024.10498520","","","2024-03-28","2026-02-19 09:40:15","2026-02-19 09:40:15","","951-956","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)","","","","","","","","","","","","","","",""
"2B9PQVJM","conferencePaper","2023","U. C. De; R. Satapathy; S. S. Patra","Optimizing Resource Allocation using Proactive Predictive Analytics and ML-Driven Dynamic VM Placement","2023 4th IEEE Global Conference for Advancement in Technology (GCAT)","","","10.1109/GCAT59970.2023.10353234","","","2023-10-06","2026-02-19 09:40:15","2026-02-19 09:40:15","","1-5","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 4th IEEE Global Conference for Advancement in Technology (GCAT)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 4th IEEE Global Conference for Advancement in Technology (GCAT)","","","","","","","","","","","","","","",""
"RY38NKHY","conferencePaper","2020","J. Hlaváč; J. Štefanovič","Machine Learning and Business Intelligence or from Descriptive Analytics to Predictive Analytics","2020 Cybernetics & Informatics (K&I)","","","10.1109/KI48306.2020.9039874","","","2020-02-29","2026-02-19 09:40:15","2026-02-19 09:40:15","","1-4","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 Cybernetics & Informatics (K&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 Cybernetics & Informatics (K&I)","","","","","","","","","","","","","","",""
